size,mflop
31,13481.5
32,14047.2
96,13052.1
97,13305.9
127,14172.7
128,13369.5
129,13616.4
191,13814.4
192,14289.7
229,15008.2
255,15903.4
256,14152.1
257,15376.6
319,15265.9
320,14157
321,15598.7
417,14998.7
479,13408.5
480,12898.1
511,12202.7
512,11817.3
639,9444.72
640,9766.05
767,9324.28
768,9347.75
769,9229.36
1023,9361.37
1024,9548.52
1025,9439.88
1525,9441.74
1526,9396.5
1527,9519.55
