size,mflop
31,6536.41
32,6279.23
96,5772.61
97,5885.6
127,5671.1
128,2145.33
129,5643.64
191,5295.6
192,2137.3
229,4955.32
255,4832.75
256,2188.23
257,4833.95
319,4596.25
320,2207.34
321,4603.04
417,4277.57
479,4153.74
480,2141.64
511,4126.44
512,1103.74
639,3917.29
640,1945.75
767,3957.94
768,1906.77
769,3931.25
1023,3916.4
1024,600.815
1025,3941.6
1525,3866.38
1526,3670.71
1527,3870.23
