size,mflop
31,6226.37
32,6316.57
96,6591.04
97,6302.91
127,6473.83
128,6423.71
129,6414.29
191,6254.49
192,6255.65
229,6148.3
255,6133.56
256,5877.74
257,6101.26
319,6170.25
320,6208.27
321,6140.9
417,6120.69
479,6209.69
480,6212.77
511,5529.73
512,4141.56
639,6209.78
640,6106.97
767,6167.84
768,5806.32
769,6171.73
1023,5620.6
1024,3833.56
1025,5600.74
1525,6298.29
1526,6350.59
1527,6282.9
